52198	45648	49600	42482	58548	46270	44546	48798	49713	49460	49555	80398	37238	58215	38973	57982	51037	56367	50991	56076	55203	50312	41096	55093	72754	37971	55315	50563	36572	60776	61520	40268	35199	37798	45433	44898	43465	46975	44905	69106	45812	55342	52771	43551	50865	33115	62909	59597	57444	39070	45562	48409	50972	72423	53376	57974	46066	43188	49037	40009	52102	63714	44120	30171	65233	37290	33690	55139	33982	55305	43196	71878	47184	48509	43330	53687	52180	69701	46786	54199	47277	37767	50834	49643	55432	55522	59309	47977	59415	41580	59946	64082	36683	44218	46274	37909	52990	44108	67971	49707
45920	46389	49797	39914	54306	47559	44786	50499	40638	43959	35906	68029	36024	49508	43939	61973	49336	39357	48025	47366	57928	42757	41664	43905	72380	43358	54283	51159	43992	53613	72380	36764	33752	38569	40198	35830	45655	48799	37987	54953	40268	47120	47168	37993	50923	34239	57725	59381	40612	33685	40421	40936	68328	61010	57402	38570	41314	42237	60627	43124	56988	60208	43700	25314	56050	32201	34882	41387	34292	40170	42014	56711	46563	45516	40339	47595	55715	67691	38735	51048	49277	34811	45348	41804	43485	45826	49872	40113	55912	41681	43318	50351	37876	36206	50371	29306	42146	46873	53020	48469
45734	47880	57978	38690	47782	50427	50396	45517	38787	48701	36384	57216	32387	53562	40625	56518	48821	43286	45206	52326	55333	44803	40343	42503	55078	39141	50387	43808	41350	62705	67210	34398	42838	47924	47254	46777	47539	47486	43513	45906	38424	45224	47365	44547	40341	36532	54315	52946	42670	28859	39706	45666	65228	59046	53267	43919	41255	43477	56018	41975	55537	50732	42465	31357	60747	32568	41368	48151	40113	50106	40978	58981	42686	45711	43884	48815	50129	65028	38310	45444	56955	36863	54117	36334	41639	44149	51091	38910	54016	47920	43020	45011	46729	39144	48506	25431	44921	49601	44373	43860
43381	47555	48735	37444	44027	45777	41582	40283	35013	42351	29008	57711	38709	46682	41087	52670	49017	37867	40979	47595	50818	48182	37789	38207	45404	34230	46704	38769	43908	55073	66127	36514	43270	43061	42827	38305	50029	56035	49705	42860	42743	38412	52406	39726	35754	34381	56541	47884	41129	35011	29907	44553	63088	60360	62798	39824	36242	46294	56623	44573	63093	41154	33483	27359	54513	34220	33091	44431	46358	46575	33732	55531	38846	44345	39830	50634	39833	56574	36257	37008	56890	37757	54422	43088	30778	40816	49375	40250	49904	45753	47653	33878	43120	46030	47967	28053	41941	51448	52167	42524
48470	48639	52094	43179	43361	45357	38409	37009	40938	44651	40602	48868	32586	41268	43351	53384	50714	40664	40294	48185	49156	45215	45919	38210	42214	42617	42686	48696	50593	52053	59181	40067	39326	39795	42022	44389	48341	51034	46031	46945	40134	40522	55280	45350	38543	37469	47425	45986	42764	37711	31327	42797	58323	64260	64260	46373	32047	40814	57094	46701	53087	42028	39299	35676	43723	41908	34258	40288	56654	46256	38649	45109	39172	43469	47462	51492	37724	52801	42842	39257	48624	39538	59266	51433	34084	50345	49488	38106	48676	42209	47164	39142	52280	45860	50316	32913	43915	49774	46532	34355
35515	37901	41858	45750	40694	37221	32610	32184	37515	36145	36476	34192	35193	38417	34801	44255	46523	39524	29821	40070	39433	38091	33958	32686	35083	39102	36667	44348	46032	40652	44403	33473	32501	30571	35992	40630	43345	46860	35059	41152	33653	32951	48274	39270	36300	32947	37666	42030	31549	31369	33156	36657	44496	49256	48724	38483	32503	30264	47334	36229	42530	40551	33189	33374	39294	38871	29719	38350	50618	39834	35637	38209	33764	38982	42723	47825	30839	39632	43322	34669	41892	37987	46313	45056	31020	38045	40214	31988	37679	29019	39417	37318	37011	39747	45778	32324	43316	36525	38172	35036
21083	22729	28338	32986	29268	24870	18892	20249	24461	25483	24342	21502	23838	29561	26401	22305	25849	23692	20466	27582	25006	31423	22797	29392	21330	24741	24473	28197	28072	25366	26547	21982	24808	21268	24711	26817	28999	34200	23797	23926	18371	21855	33593	25487	28089	22401	23498	30836	19115	20294	26133	24150	30387	27980	26800	28562	24311	18745	34034	20884	26343	27420	20439	22241	24076	28551	22204	24287	33842	29968	23834	23867	23115	23530	28799	30809	23345	26525	33314	24108	24708	24813	29664	29835	23197	27686	26142	24235	25165	20701	28802	28745	22776	25578	26333	22128	26391	24654	25773	22920
8639	9592	10075	10404	10587	9603	7360	8109	9250	9330	10605	8460	9147	11366	9510	7770	9805	9547	8883	11880	8312	10354	8247	9872	9016	9310	9068	10829	11046	9670	10317	8225	9566	7716	10745	10438	10921	10924	8802	8973	7465	8261	9690	9216	9643	9460	10201	9325	8656	8768	11382	10088	9269	9016	9997	9788	9221	8607	11900	8722	9882	10589	8448	9355	9759	10572	8915	9779	10973	9460	9758	8120	9928	8672	9956	10112	8672	9720	11963	9715	9361	9244	12168	9631	9960	9875	10411	10200	9515	8212	10349	10559	8130	10602	9551	9639	9861	9600	9946	8736
10776	13217	13340	15081	13343	12062	10033	10079	12384	13023	13239	10238	11086	14334	11779	8897	14270	11529	11015	15823	10452	13312	12219	13196	12607	13447	12790	12955	14062	13080	12711	11043	13918	10391	13186	14235	12917	14126	11339	12442	9194	9558	11670	12305	12796	12971	11257	11745	11381	9606	13690	12110	13568	12044	14094	11449	13195	10053	14177	10923	11994	13188	12533	13264	12887	16754	10726	13503	13359	13373	14385	11164	15563	10903	12781	12642	11665	11478	15596	12536	11366	11417	12857	12349	11581	13747	12481	11759	13089	10255	15724	13927	10758	11855	12480	15123	10720	11478	14270	11541
23726	33297	29198	30798	40638	25676	27693	22805	29127	31640	32302	24656	25711	43702	35791	15932	40865	28035	23173	36133	23532	31338	28013	35535	30558	29423	36766	31274	43314	35985	40899	25186	30802	24804	34107	44220	35350	44220	24995	25515	20875	24611	22355	27340	32683	31057	22850	22931	23056	24229	38725	34973	31713	34094	33958	24739	28897	26393	44220	29358	29708	35170	35014	26982	26980	44220	24722	40555	34166	33110	37727	27288	38841	29733	23477	32442	28044	26779	42040	32942	36878	28582	35890	36446	30204	37139	31123	31387	29985	18817	41203	38871	20561	30744	33117	38315	24119	30376	30823	30941
